zircon_sample,rock_sample,pluton,age_Ma,e_Hf_t,e_Hf_t_error
CV14-07-12,CV14-07,McKinley Peak,54.1,7.96359047,1.221467471
CV14-07-7R,CV14-07,McKinley Peak,54.3,10.54577474,1.200625869
CV14-07-16R,CV14-07,McKinley Peak,54.7,8.539773498,0.984095818
CV14-07-13,CV14-07,McKinley Peak,57.1,1.678635844,1.042833979
CV14-07-21,CV14-07,McKinley Peak,57.4,2.605085809,1.244559935
CV14-07-24,CV14-07,McKinley Peak,63.3,10.23227848,0.783589154
RF16-19A-03,RF16-19A,Mt Stamy,50.3,7.848667168,0.871981102
RF16-19A-23,RF16-19A,Mt Stamy,50.9,7.423121369,1.231357182
RF16-19A-28,RF16-19A,Mt Stamy,50.9,5.775462386,0.894703232
RF16-19A-02,RF16-19A,Mt Stamy,51.3,7.135494561,1.041888357
RF16-19A-12,RF16-19A,Mt Stamy,51.5,5.619996783,1.261817506
RF16-19A-19,RF16-19A,Mt Stamy,51.5,7.118019581,1.1250375
RF16-19A-09,RF16-19A,Mt Stamy,51.6,7.527866272,1.344834885
RF16-19A-21,RF16-19A,Mt Stamy,51.7,6.324547455,0.827057268
RF16-19A-14,RF16-19A,Mt Stamy,51.7,5.159434842,0.918275006
RF16-19A-13,RF16-19A,Mt Stamy,51.9,6.211721403,0.698920459
RF16-19A-34,RF16-19A,Mt Stamy,52,8.359267283,1.045503472
RF16-19A-06,RF16-19A,Mt Stamy,52.1,8.961336244,0.689383237
RF16-19A-04,RF16-19A,Mt Stamy,52.2,5.102290643,0.8575279
RF16-19A-22,RF16-19A,Mt Stamy,51.6,5.312716584,1.295315453
RF16-05A-43,RF16-05A,Mt Draper,51.5,6.618447703,0.88155974
RF16-05A-65,RF16-05A,Mt Draper,51.7,5.358244353,0.877029665
RF16-05A-48,RF16-05A,Mt Draper,52,8.246491612,1.218907882
RF16-05A-41,RF16-05A,Mt Draper,52.7,6.456714421,1.076629985
RF16-05A-51,RF16-05A,Mt Draper,52.8,6.715989853,1.3643918
RF16-05A-57,RF16-05A,Mt Draper,52.9,4.905656588,0.816113669
RF16-05A-56,RF16-05A,Mt Draper,53,4.671996189,0.931543525
RF16-05A-52,RF16-05A,Mt Draper,53.1,1.761400741,0.916489845
RF16-05A-49,RF16-05A,Mt Draper,53.2,4.264687608,0.971716716
RF16-05A-36,RF16-05A,Mt Draper,53.2,3.628901467,0.993550999
RF16-05A-60,RF16-05A,Mt Draper,53.7,6.653159898,0.845314709
RF16-05A-55,RF16-05A,Mt Draper,53.8,3.572392237,1.160284221
RF16-30A-7,RF16-30A,Mt Draper,53.1,6.005460967,0.983026041
RF16-30A-35,RF16-30A,Mt Draper,53.2,7.387618109,0.643724568
RF16-30A-24,RF16-30A,Mt Draper,53.5,8.414086023,0.757082316
RF16-30A-33,RF16-30A,Mt Draper,53.7,10.5948233,0.683647417
RF16-30A-5,RF16-30A,Mt Draper,53.8,7.508356361,0.796177557
RF16-30A-3,RF16-30A,Mt Draper,53.8,9.106230257,0.80641714
RF16-30A-23,RF16-30A,Mt Draper,54.1,4.742848126,0.804543625
RF16-30A-34,RF16-30A,Mt Draper,54.1,10.49421484,0.657017491
RF16-30A-18,RF16-30A,Mt Draper,54.2,9.386634159,0.760165521
RF16-30A-31,RF16-30A,Mt Draper,54.2,9.864728879,0.788118348
RF16-30A-6,RF16-30A,Mt Draper,54.3,7.126464143,0.603394274
RF16-30A-10,RF16-30A,Mt Draper,54.7,5.300790349,0.47796815
RF16-30A-4,RF16-30A,Mt Draper,54.7,7.097149714,0.682401957
RF16-30A-20,RF16-30A,Mt Draper,54.7,7.131268403,0.465333775
RF16-30A-11,RF16-30A,Mt Draper,55.1,6.729538248,0.663386068
RF16-32A-40,RF16-32A,Mt Draper,52.2,8.460819768,0.533659523
RF16-32A-39,RF16-32A,Mt Draper,52.3,7.0938039,0.588126594
RF16-32A-49,RF16-32A,Mt Draper,53.1,7.677249843,0.558476201
RF16-32A-58,RF16-32A,Mt Draper,53.1,11.59225456,0.627237908
RF16-32A-50,RF16-32A,Mt Draper,53.2,9.317693964,0.682667539
RF16-32A-48,RF16-32A,Mt Draper,53.8,-2.331053903,0.792825611
RF16-32A-46,RF16-32A,Mt Draper,53.9,7.225076681,0.676044264
RF16-32A-52,RF16-32A,Mt Draper,54,7.903508035,0.63185271
RF16-32A-70,RF16-32A,Mt Draper,54,8.585708805,0.671293054
RF16-32A-54,RF16-32A,Mt Draper,54.1,6.94821049,0.590849895
RF16-32A-61,RF16-32A,Mt Draper,54.1,7.759129681,0.594988208
RF16-32A-36,RF16-32A,Mt Draper,54.1,8.920515851,0.720785728
RF16-32A-69,RF16-32A,Mt Draper,54.4,7.936172611,0.555344399
RF16-32A-67,RF16-32A,Mt Draper,55.1,8.945910401,0.407446587
RF16-32A-59,RF16-32A,Mt Draper,56.3,3.322818735,0.591833411
KP13-01-5,KP13-01,Krestof Island,51,11.62255107,0.875484663
KP13-01-1,KP13-01,Krestof Island,51.6,10.69836611,1.063184507
KP13-01-25,KP13-01,Krestof Island,51.6,8.263615491,1.105823848
KP13-01-8,KP13-01,Krestof Island,51.7,11.5197553,0.98712759
KP13-01-14,KP13-01,Krestof Island,51.8,11.85771772,0.833837832
KP13-01-16,KP13-01,Krestof Island,51.9,10.47668727,0.972479858
KP13-01-21,KP13-01,Krestof Island,51.9,10.61901631,1.040254355
KP13-01-15,KP13-01,Krestof Island,52,8.338942792,0.808073034
KP13-01-18,KP13-01,Krestof Island,52,9.370827851,1.089925334
KP13-01-24,KP13-01,Krestof Island,52,12.04337271,0.932745481
KP13-01-9,KP13-01,Krestof Island,52.1,9.734920094,1.14665973
KP13-01-22,KP13-01,Krestof Island,52.1,9.953296798,0.958615649
KP13-01-3,KP13-01,Krestof Island,52.4,11.47754341,1.009387973
KP13-01-20,KP13-01,Krestof Island,52.7,10.06064025,1.160073597
KP13-01-12,KP13-01,Krestof Island,53.2,11.21411496,0.921020042
WB13-05-12,WB13-05,Crawfish Inlet,46.2,14.11560596,1.185976964
WB13-05-7,WB13-05,Crawfish Inlet,47.5,9.597054198,1.466773245
WB13-05-14,WB13-05,Crawfish Inlet,47.5,9.4560907,1.098358278
WB13-05-20,WB13-05,Crawfish Inlet,47.5,14.36653554,0.840705165
WB13-05-17,WB13-05,Crawfish Inlet,47.9,9.297261745,0.918358913
WB13-05-8,WB13-05,Crawfish Inlet,48,13.06614566,0.815093999
WB13-05-3,WB13-05,Crawfish Inlet,48.1,12.16476272,1.161210028
WB13-05-9,WB13-05,Crawfish Inlet,48.1,13.23985833,0.83128268
WB13-05-6,WB13-05,Crawfish Inlet,48.2,12.03502753,1.043625275
WB13-05-16,WB13-05,Crawfish Inlet,48.4,18.12538407,1.407556428
WB13-05-15,WB13-05,Crawfish Inlet,49,14.39368746,1.122788101
WB13-05-26,WB13-05,Crawfish Inlet,49.2,14.42203627,1.193512113
WB13-05-25,WB13-05,Crawfish Inlet,49.8,11.52646348,1.24769547
WB13-05-2,WB13-05,Crawfish Inlet,50.2,11.25121389,1.109842555
WB13-05-28,WB13-05,Crawfish Inlet,50.4,15.49274044,1.66925691
WB13-06-12,WB13-06,Crawfish Inlet,47.2,15.3243243,1.441095849
WB13-06-15,WB13-06,Crawfish Inlet,47.5,11.11405285,1.377093908
WB13-06-19,WB13-06,Crawfish Inlet,47.6,11.96374556,1.468420977
WB13-06-26,WB13-06,Crawfish Inlet,47.9,16.60787127,1.255384671
WB13-06-14,WB13-06,Crawfish Inlet,47.9,11.59938951,0.980372483
WB13-06-25,WB13-06,Crawfish Inlet,48.1,17.1309639,1.39451617
WB13-06-10,WB13-06,Crawfish Inlet,48.1,14.25365377,0.924524723
WB13-06-21,WB13-06,Crawfish Inlet,48.3,16.50038393,1.251635379
WB13-06-05,WB13-06,Crawfish Inlet,48.3,6.002483849,1.291313229
WB13-06-09,WB13-06,Crawfish Inlet,48.4,11.36262436,1.078098317
WB13-06-18,WB13-06,Crawfish Inlet,48.7,17.16003353,1.829808148
WB13-06-27,WB13-06,Crawfish Inlet,48.9,15.03604539,1.563805426
WB13-06-28,WB13-06,Crawfish Inlet,49.4,11.48021559,1.505318234
WB13-06-11,WB13-06,Crawfish Inlet,49.4,11.30449775,1.05415484
WB13-06-07,WB13-06,Crawfish Inlet,49.9,11.87077272,0.990549721
WB13-07-14,WB13-07,Crawfish Inlet,48.7,8.569569534,1.315027331
WB13-07-17,WB13-07,Crawfish Inlet,48.8,10.33379208,1.162139524
WB13-07-22,WB13-07,Crawfish Inlet,48.9,9.050385423,1.002624408
WB13-07-28,WB13-07,Crawfish Inlet,49.5,9.058989069,1.22592462
WB13-07-21,WB13-07,Crawfish Inlet,49.9,11.51121228,1.574826228
WB13-07-26,WB13-07,Crawfish Inlet,50,8.917287671,0.927051475
WB13-07-25,WB13-07,Crawfish Inlet,50,10.79946126,1.493344764
WB13-07-19,WB13-07,Crawfish Inlet,50,10.359502,1.145478059
