sample,location_reference,distance_from_Sanak_km,SiO2_percent,Sr_ppm,Y_ppm,Sr_Y
91ADW-127B,"Seldovia dikes (Lytwyn et al., 2000)",920,64.88,390,27,14.44444444
90ADW418A,"Seldovia dikes (Bradley et al., 2003)",920,64.9,1200,11,109.0909091
92ADW221B,"Seldovia dikes (Bradley et al., 2003)",920,65.3,780,6,130
91SK213A,"Seldovia dikes (Bradley et al., 2003)",920,65.5,370,6,61.66666667
92PH319C,"Seldovia dikes (Bradley et al., 2003)",920,65.6,730,5,146
92AKU52A,"Seldovia dikes (Bradley et al., 2003)",920,65.7,290,14,20.71428571
92AKU144A,"Seldovia dikes (Bradley et al., 2003)",920,65.8,330,13,25.38461538
90ADW-402A,"Seldovia dikes (Lytwyn et al., 2000)",920,65.94,318,10,31.8
90ADW530A,"Seldovia dikes (Bradley et al., 2003)",920,66.1,740,7,105.7142857
90ADW-404A,"Seldovia dikes (Lytwyn et al., 2000)",920,66.34,318,6.1,52.13114754
90ADW410A,"Seldovia dikes (Bradley et al., 2003)",920,66.4,910,5,182
90ADW-406A,"Seldovia dikes (Lytwyn et al., 2000)",920,66.43,563,10,56.3
92ADW106A,"Seldovia dikes (Bradley et al., 2003)",920,66.6,610,4,152.5
90ADW428A,"Seldovia dikes (Bradley et al., 2003)",920,66.9,290,7,41.42857143
90ADW826A,"Seldovia dikes (Bradley et al., 2003)",920,67.1,510,3,170
92ADW142A,"Seldovia dikes (Bradley et al., 2003)",920,67.3,290,6,48.33333333
92PH322C,"Seldovia dikes (Bradley et al., 2003)",920,67.3,270,7,38.57142857
90ADW-410A,"Seldovia dikes (Lytwyn et al., 2000)",920,67.39,874,6,145.6666667
90ADW425A,"Seldovia dikes (Bradley et al., 2003)",920,67.4,1100,5,220
90ADW-407A,"Seldovia dikes (Lytwyn et al., 2000)",920,67.45,448,6.9,64.92753623
90ADW-418A,"Seldovia dikes (Lytwyn et al., 2000)",920,67.56,1220,12,101.6666667
90ADW-530A,"Seldovia dikes (Lytwyn et al., 2000)",920,67.6,734,11,66.72727273
92PH496B,"Seldovia dikes (Bradley et al., 2003)",920,67.6,620,6,103.3333333
90ADW-421A,"Seldovia dikes (Lytwyn et al., 2000)",920,67.64,1502,11,136.5454545
90ADW426A,"Seldovia dikes (Bradley et al., 2003)",920,67.7,650,4,162.5
91ADW-73F,"Seldovia dikes (Lytwyn et al., 2000)",920,67.73,455,5.9,77.11864407
89ADW148,"Seldovia dikes (Bradley et al., 2003)",920,67.8,410,2,205
92ADW67A,"Seldovia dikes (Bradley et al., 2003)",920,67.9,520,5,104
92PH435B,"Seldovia dikes (Bradley et al., 2003)",920,67.9,280,3,93.33333333
91ADW-137C,"Seldovia dikes (Lytwyn et al., 2000)",920,67.99,648,6.2,104.516129
91ADW40A,"Seldovia dikes (Bradley et al., 2003)",920,68.3,490,4,122.5
90ADW-425A,"Seldovia dikes (Lytwyn et al., 2000)",920,68.33,1038,5.9,175.9322034
92PH437B,"Seldovia dikes (Bradley et al., 2003)",920,68.5,370,4,92.5
92PH320C,"Seldovia dikes (Bradley et al., 2003)",920,68.6,350,12,29.16666667
90ADW-428A,"Seldovia dikes (Lytwyn et al., 2000)",920,68.67,290,9,32.22222222
92AKU227B,"Seldovia dikes (Bradley et al., 2003)",920,68.7,350,8,43.75
91ADW-72C,"Seldovia dikes (Lytwyn et al., 2000)",920,68.71,503,6.6,76.21212121
92ADW192A,"Seldovia dikes (Bradley et al., 2003)",920,69.3,170,13,13.07692308
92PH393C,"Seldovia dikes (Bradley et al., 2003)",920,69.3,280,4,70
90ADW-426A,"Seldovia dikes (Lytwyn et al., 2000)",920,69.4,663,5.7,116.3157895
92ADW74A,"Seldovia dikes (Bradley et al., 2003)",920,69.4,330,13,25.38461538
91AKU-132B,"Seldovia dikes (Lytwyn et al., 2000)",920,69.58,746,9.7,76.90721649
92ADW225A,"Seldovia dikes (Bradley et al., 2003)",920,70,550,3,183.3333333
92TD138A,"Seldovia dikes (Bradley et al., 2003)",920,70,490,4,122.5
91ADW-94B,"Seldovia dikes (Lytwyn et al., 2000)",920,70.11,340,7.1,47.88732394
90ADW-826A,"Seldovia dikes (Lytwyn et al., 2000)",920,70.23,498,6.3,79.04761905
91ADW-77B,"Seldovia dikes (Lytwyn et al., 2000)",920,70.36,537,6.3,85.23809524
90ADW24A,"Seldovia dikes (Bradley et al., 2003)",920,70.5,450,3,150
92ATI322B,"Seldovia dikes (Bradley et al., 2003)",920,70.5,230,10,23
91ADW-78C,"Seldovia dikes (Lytwyn et al., 2000)",920,70.77,529,5.9,89.66101695
89ADW154A,"Seldovia dikes (Bradley et al., 2003)",920,70.8,170,16,10.625
92ADW127A,"Seldovia dikes (Bradley et al., 2003)",920,71,460,3,153.3333333
91AKU-51B,"Seldovia dikes (Lytwyn et al., 2000)",920,71.3,518,4.5,115.1111111
91ADW55F,"Seldovia dikes (Bradley et al., 2003)",920,71.4,200,7,28.57142857
90ADW419A,"Seldovia dikes (Bradley et al., 2003)",920,71.7,290,3,96.66666667
90ADW-24A,"Seldovia dikes (Lytwyn et al., 2000)",920,71.8,430,7,61.42857143
89ADW145A,"Seldovia dikes (Bradley et al., 2003)",920,71.8,800,2,400
92ADW35A,"Seldovia dikes (Bradley et al., 2003)",920,71.9,490,8,61.25
89ADW-148,"Seldovia dikes (Lytwyn et al., 2000)",920,71.94,425,4.6,92.39130435
