zircon_sample,rock_sample,formation,location,age_Ma_plutons,age_Ma_plutons_error,age_Ma_seds,e_Hf_50Ma,e_Hf_50Ma_error
NI12-14-94,NI12-14,Shumagin formation,Shumagin,62.15080717,0.982593704,189,9.849188239,1.322010529
NI12-23-07,NI12-23,Shumagin formation,Shumagin,62.15080717,0.982593704,73,12.47174538,0.954258603
NI12-23-27,NI12-23,Shumagin formation,Shumagin,62.15080717,0.982593704,75,5.970806363,0.987620772
NI12-23-75,NI12-23,Shumagin formation,Shumagin,62.15080717,0.982593704,76,4.275241498,1.154976636
NI12-23-49,NI12-23,Shumagin formation,Shumagin,62.15080717,0.982593704,81,6.92739728,1.039111263
NI12-23-74,NI12-23,Shumagin formation,Shumagin,62.15080717,0.982593704,84,5.636524537,0.950385023
NI12-23-33,NI12-23,Shumagin formation,Shumagin,62.15080717,0.982593704,89,12.6441688,1.244548408
NI12-23-22,NI12-23,Shumagin formation,Shumagin,62.15080717,0.982593704,92,8.808055444,1.357447164
NI12-23-89,NI12-23,Shumagin formation,Shumagin,62.15080717,0.982593704,101,-1.76380837,0.983268362
NI12-23-47,NI12-23,Shumagin formation,Shumagin,62.15080717,0.982593704,112,-1.208737222,1.246193315
NI12-23-06,NI12-23,Shumagin formation,Shumagin,62.15080717,0.982593704,152,7.176451368,1.030331524
NI12-23-60,NI12-23,Shumagin formation,Shumagin,62.15080717,0.982593704,159,1.08113261,1.319179997
NI12-23-83,NI12-23,Shumagin formation,Shumagin,62.15080717,0.982593704,162,3.52052261,0.967660135
NI12-23-41,NI12-23,Shumagin formation,Shumagin,62.15080717,0.982593704,163,1.959375307,0.971743241
NI12-23-97,NI12-23,Shumagin formation,Shumagin,62.15080717,0.982593704,167,-0.137844229,1.145672087
NI12-23-29,NI12-23,Shumagin formation,Shumagin,62.15080717,0.982593704,167,3.476530717,1.319449176
NI12-23-35,NI12-23,Shumagin formation,Shumagin,62.15080717,0.982593704,174,6.882196958,1.123139543
NI12-23-85,NI12-23,Shumagin formation,Shumagin,62.15080717,0.982593704,174,7.983741338,1.216352855
NI12-23-69,NI12-23,Shumagin formation,Shumagin,62.15080717,0.982593704,181,8.948765969,1.191099759
NI12-23-44,NI12-23,Shumagin formation,Shumagin,62.15080717,0.982593704,193,-6.113801526,1.056893673
NI12-23-04,NI12-23,Shumagin formation,Shumagin,62.15080717,0.982593704,413,-7.740074402,1.562805764
RB12-02-30,RB12-02,Orca group,Seward,56.44146064,1.820786026,62,0.614500404,0.923457076
RB12-02-70,RB12-02,Orca group,Seward,56.44146064,1.820786026,63,1.479242286,1.286709754
RB12-02-17,RB12-02,Orca group,Seward,56.44146064,1.820786026,65,-4.077773772,0.973215643
RB12-02-63,RB12-02,Orca group,Seward,56.44146064,1.820786026,66,1.434040721,1.094716634
RB12-02-47,RB12-02,Orca group,Seward,56.44146064,1.820786026,67,3.398252049,1.196277341
RB12-02-66,RB12-02,Orca group,Seward,56.44146064,1.820786026,69,3.796090771,1.328739627
RB12-02-87,RB12-02,Orca group,Seward,56.44146064,1.820786026,69,-0.512189454,1.234684927
RB12-02-14,RB12-02,Orca group,Seward,56.44146064,1.820786026,70,1.350523724,1.135662823
