sample,pluton,age_Ma,age_Ma_error,e_Hf_t,e_Hf_t_error
KP13-01,Krestof Island,52.1,1,10.5,0.5
CP13-13,Crawfish Inlet,53.1,0.8,4.7,0.7
CP13-07A,Crawfish Inlet,51.2,0.9,8.2,1
CP13-05A,Crawfish Inlet,50.5,0.9,9.3,0.6
CP13-03A,Crawfish Inlet,48.6,1.2,12.7,0.6
CP13-04,Crawfish Inlet,48,1,12.9,0.6
CP13-09A,Crawfish Inlet,47.3,1.2,13.7,0.7
